代码,name,ts_code,exchange,最新价,cats,命中数
601677,明泰铝业,601677.SH,SSE,17.9,['机器人'],1
601727,上海电气,601727.SH,SSE,8.6,['机器人'],1
601766,中国中车,601766.SH,SSE,6.03,['智能驾驶'],1
601777,千里科技,601777.SH,SSE,11.17,['智能驾驶'],1
601778,晶科科技,601778.SH,SSE,7.19,['算力租赁'],1
601799,星宇股份,601799.SH,SSE,137.14,['智能驾驶'],1
601801,皖新传媒,601801.SH,SSE,5.99,['大模型'],1
601858,中国科传,601858.SH,SSE,29.33,['数字经济'],1
601866,中远海发,601866.SH,SSE,2.7,['数字经济'],1
601868,中国能建,601868.SH,SSE,3.33,['机器人'],1
601900,南方传媒,601900.SH,SSE,12.43,['大模型'],1
601929,吉视传媒,601929.SH,SSE,3.03,['大模型'],1
601956,东贝集团,601956.SH,SSE,5.92,['机器人'],1
601965,中国汽研,601965.SH,SSE,16.66,['智能驾驶'],1
601966,玲珑轮胎,601966.SH,SSE,13.36,['机器人'],1
603008,喜临门,603008.SH,SSE,7.98,['大模型'],1
603009,北特科技,603009.SH,SSE,52.19,['机器人'],1
603011,合锻智能,603011.SH,SSE,21.84,['算力租赁'],1
603012,创力集团,603012.SH,SSE,9.69,['机器人'],1
603023,威帝股份,603023.SH,SSE,4.81,['智能驾驶'],1
603035,常熟汽饰,603035.SH,SSE,13.25,['智能驾驶'],1
603037,凯众股份,603037.SH,SSE,15.62,['智能驾驶'],1
603042,华脉科技,603042.SH,SSE,22.97,['大模型'],1
603051,鹿山新材,603051.SH,SSE,24.96,['机器人'],1
603052,可川科技,603052.SH,SSE,95.35,['CPO'],1
603068,博通集成,603068.SH,SSE,36.94,['智能驾驶'],1
603072,天和磁材,603072.SH,SSE,38.49,['机器人'],1
603075,热威股份,603075.SH,SSE,24.85,['机器人'],1
603081,大丰实业,603081.SH,SSE,12.29,['机器人'],1
603082,北自科技,603082.SH,SSE,35.19,['机器人'],1
603083,剑桥科技,603083.SH,SSE,193.33,['CPO'],1
603089,正裕工业,603089.SH,SSE,11.75,['机器人'],1
603108,润达医疗,603108.SH,SSE,13.55,['大模型'],1
603110,东方材料,603110.SH,SSE,23.76,['算力租赁'],1
603118,共进股份,603118.SH,SSE,15.65,['智能驾驶'],1
603119,浙江荣泰,603119.SH,SSE,91.88,['机器人'],1
603121,华培动力,603121.SH,SSE,20.84,['机器人'],1
